"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT10","WT11"
"USW00023064","37.92722","-100.72472","878.4","2000-03-01","0.03",,"45","61","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-02","1.85",,"38","45","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-03","0.00",,"38","45","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-04","0.00",,"47","65","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-05","0.00",,"53","67","38",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-06","0.00",,"56","74","38",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-07","0.37",,"56","68","44",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-08","0.01",,"46","61","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-09","0.00",,"36","47","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-10","0.06",,"32","33","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-11","0.00",,"38","51","24",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-12","0.00",,"43","55","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-13","0.00",,"42","58","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-14","0.00",,"49","63","35",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-15","0.00",,"42","54","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-16","0.00",,"28","35","21",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-17","0.00",,"34","38","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-18","0.15",,"35","40","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-19","0.00",,"42","58","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-20","0.00",,"48","61","34",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-21","0.09",,"38","40","36",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-22","0.77",,"42","47","37",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-23","0.39",,"47","52","42",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-24","0.00",,"52","66","37",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-25","0.00",,"52","66","37",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-26","0.00",,"59","76","41",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-27","0.00",,"54","74","34",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-28","0.01",,"44","52","35",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-29","0.11",,"38","46","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-30","0.00",,"40","54","25",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-03-31","0.58",,"39","44","34",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-01","0.00",,"41","48","34",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-02","0.00",,"46","64","27",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-03","0.00",,"38","49","27",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-04","0.00",,"49","75","23",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-05","0.00",,"63","87","38",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-06","0.02",,"55","67","43",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-07","0.00",,"45","59","31",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-08","0.00",,"42","63","20",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-09","0.00",,"57","78","36",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-10","0.00",,"55","67","42",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-11","0.00",,,,,,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-12","0.00",,"49","63","34",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-13","0.00",,"61","81","40",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-14","0.00",,"68","88","48",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-15","0.00",,"47","63","30",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-16","0.00",,"44","64","23",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-17","0.00",,"52","74","29",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-18","0.00",,"71","91","51",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-19","0.00",,"56","78","34",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-20","0.00",,"54","68","39",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-21","0.00",,"56","80","32",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-22","0.09",,"62","74","49",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-23","0.09",,"56","64","48",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-24","0.23",,"58","75","40",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-25","0.00",,"54","69","39",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-26","0.00",,"61","78","44",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-27","0.00",,"58","73","43",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-28","0.00",,"54","71","36",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-29","0.02",,"63","74","52",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-04-30","1.78",,"53","58","47",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-01","0.74",,"47","49","44",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-02","0.00",,"55","64","45",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-03","0.01",,"56","70","42",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-04","0.00",,"63","79","47",,,,,,,,,,
