"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT16","WT19"
"US1KSGH0001","39.2101","-100.0486","755.0","2008-03-17","0.61","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-03-27","0.03","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-03-30","0.01","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-03-31","0.02","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-04-09","0.39","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-04-10","0.85","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-04-17","0.69","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-04-18","0.36","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-02","0.28","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-06","0.73","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-07","0.01","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-09","0.63","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-20","0.03","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-23","1.23","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-05-26","0.08","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-06-09","0.20","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-06-19","0.48","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-06-22","0.07","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-06-24","0.01","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-06-28","0.32","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-07-08","0.33","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-07-18","0.69","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-07-29","1.21","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-07-30","0.20","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-08-07","1.77","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-08-08","0.11","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-08-09","1.30","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-08-24","0.10","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-08-25","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-08-31","0.00","0.0",,,,,,,,,,,,,,,
