"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00013980","37.155","-98.0282","414.5","2000-03-08","0.71","0.0","73","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-09","0.00","0.0","48","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-10","0.00","0.0","43","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-11","0.16","4.0","50","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-12","0.00","0.0","57","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-13","0.00","0.0","61","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-14","0.00","0.0","67","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-15","0.00","0.0","68","45",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-16","1.70",,"37","31",,,"    1",,,
"USW00013980","37.155","-98.0282","414.5","2000-03-17","0.92","0.0","41","27",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-18","0.05","0.0","43","33","    1",,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-19","0.09","0.0","59","36",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-20","0.00","0.0","68","32",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-21","0.00","0.0","55","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-22","0.03","0.0","55","48",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-23","1.94","0.0","64","49",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-24","0.92","0.0","74","44",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-25","0.00","0.0","72","46",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-26","0.00","0.0","79","48",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-27","0.11","0.0","75","42",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-28","0.00","0.0","56","41",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-29","0.68","0.0","45","41",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-30","0.16","0.0","61","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-03-31","0.00","0.0","55","39",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-01","0.08","0.0","48","43",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-02","0.18","0.0","65","37",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-03","0.00","0.0","52","42",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-04","0.00","0.0","68","30",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-05","0.00","0.0","90","31",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-06","0.00","0.0","72","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-07","0.00","0.0","64","49",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-08","0.00","0.0","57","32",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-09","0.00","0.0","67","33",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-10","0.00","0.0","79","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-11","0.00","0.0","64","44",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-12","0.00","0.0","57","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-13","0.00","0.0","64","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-14","0.00","0.0","70","47",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-15","0.00","0.0","65","48",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-16","0.82","0.0","58","35",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-17","0.00","0.0","64","34",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-18","0.00","0.0","83","34",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-19","0.00","0.0","81","34",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-20","0.00","0.0","68","47",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-21","0.00","0.0","70","40",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-22","0.00","0.0","71","44",,"    1",,"    1",,
"USW00013980","37.155","-98.0282","414.5","2000-04-23","0.22","0.0","68","50",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-24","0.00","0.0","76","49",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-25","0.00","0.0","75","49",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-26","0.00","0.0","73","45",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-27","0.00","0.0","76","46",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-28","0.00","0.0","72","45",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-29","0.00","0.0","69","45",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-04-30","0.03","0.0","67","54",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-01","0.39","0.0","59","55",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-02","0.11","0.0","68","54",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-03","0.00","0.0","74","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-04","0.00","0.0","78","51",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-05","0.00","0.0","76","55",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-06","0.00","0.0","80","57",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-07","0.00","0.0","90","65",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-08","0.00","0.0","72","68",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-09","0.59","0.0","72","54",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-10","0.00","0.0","79","52",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-11","0.00","0.0","97","54",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-12","0.00","0.0","74","63",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-13","0.00","0.0","71","47",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-14","0.00","0.0","75","47",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-15","0.00","0.0","71","48",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-16","0.00","0.0","79","56",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-17","0.00","0.0","81","64",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-18","0.05","0.0","74","54",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-19","0.00","0.0","66","53",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-20","0.00","0.0","80","47",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-21","0.01","0.0","87","52",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-22","0.00","0.0","97","52",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-23","0.00","0.0","99","62",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-24","0.00","0.0","90","68",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-25","0.02","0.0","83","59",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-26","3.53","0.0","88","64",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-27","0.90","0.0","83","62",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-28","0.00","0.0","90","58",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-29","0.00","0.0","96","62",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-30","0.00","0.0","96","67",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-05-31","0.00","0.0","94","74",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-01","0.00","0.0","93","72",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-02","0.45","0.0","73","60",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-03","0.09","0.0","80","59",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-04","0.00","0.0","87","62",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-05","0.00","0.0","76","54",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-06","0.00","0.0","78","55",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-07","0.00","0.0","87","58",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-08","0.00","0.0","88","59",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-09","0.00","0.0","87","60",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-10","0.00","0.0","83","67",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-11","0.00","0.0","91","68",,"    1",,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-12","0.15","0.0","93","64",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-13","0.00","0.0","91","65",,,,,,
"USW00013980","37.155","-98.0282","414.5","2000-06-14","1.33","0.0","84","61",,"    1",,,,
