"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-29","2.54",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-30","0.47",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-07-31","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-01","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-02","1.83",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-03","0.40",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-04","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-05","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-06","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-07","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-09","0.67",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-10","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-12","0.78",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-13","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-14","0.01",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-15","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-16","0.22",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-17","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-18","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-19","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-20","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-21","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-22","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-23","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-24","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-25","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-26","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-27","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-28","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-30","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-08-31","0.01",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-01","0.01",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-02","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-03","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-04","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-05","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-07","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-08","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-09","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-10","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-11","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-12","0.10",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-13","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-14","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-15","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-16","0.03",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-17","0.18",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-18","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-19","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-20","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-21","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-22","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-23","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-24","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-25","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-26","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-27","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-28","0.43",,,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-29","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-09-30","0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1KSCD0003","39.4379","-97.7116","468.8","2013-10-01","0.00","0.0",,,,,,,,,,,,,,,,,,,
